
=== Session started 2026-07-11T10:38:47.152252 (192.168.1.168:23) ===
[10:38:47.157] [dev] eDrum telnet console
[10:39:20.186] [DBG] hit output OFF (quiet)
[10:39:21.664] [DBG] hit output ON
[10:39:38.794] [SCOPE] Active: input=0 floor=15
[10:39:44.462] [HIT] t=1583437 i=0 note=38 vel=35 raw=35 truepeak=909 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=698.0 dchead=12.2 spikerej=98 rcstate=2 lcp=909 refrise=1
[10:39:44.467] [SysEx TX] F0 00 7D 00 05 03 00 00 23 23 F7
[10:39:44.473] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1230 rim_peak=66 decision=HEAD samples=200
[10:39:45.277] T,H,R
[10:39:45.772] 171,462,2
[10:39:45.773] 172,461,8
[10:39:45.782] 173,420,0
[10:39:45.782] 174,354,0
[10:39:45.784] 175,237,0
[10:39:45.787] 176,161,0
[10:39:45.790] 177,105,0
[10:39:45.793] 178,0,0
[10:39:45.796] 179,0,0
[10:39:45.799] 180,0,0
[10:39:45.802] 181,0,0
[10:39:45.804] 182,0,0
[10:39:45.806] 183,19,0
[10:39:45.809] 184,63,0
[10:39:45.812] 185,81,0
[10:39:45.815] 186,70,1
[10:39:45.818] 187,53,0
[10:39:45.820] 188,29,0
[10:39:45.823] 189,26,0
[10:39:45.832] 190,7,0
[10:39:45.832] 191,37,7
[10:39:45.833] 192,98,3
[10:39:45.834] 193,150,0
[10:39:45.837] 194,203,8
[10:39:45.840] 195,266,0
[10:39:45.843] 196,303,4
[10:39:45.848] 197,316,8
[10:39:45.848] 198,333,10
[10:39:45.851] 199,345,5
[10:39:45.865] [RCEXIT] t=1584837 i=0 exit=0 lcp=49 dur=3ms margin=30
[10:39:45.865] [HIT] t=1584840 i=0 note=38 vel=2 raw=2 truepeak=61 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-11.0 dchead=27.0 spikerej=99 rcstate=2 lcp=61 refrise=0
[10:39:45.874] [SysEx TX] F0 00 7D 00 05 03 00 00 02 02 F7
[10:39:45.874] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=111 rim_peak=11 decision=HEAD samples=200
[10:39:45.885] T,H,R
[10:39:45.886] 0,0,7
[10:39:45.886] 1,0,6
[10:39:45.889] 2,11,11
[10:39:45.892] 3,27,11
[10:39:45.895] 4,41,9
[10:39:45.899] 5,51,3
[10:39:45.901] 6,73,10
[10:39:45.905] 7,93,6
[10:39:45.906] 8,91,7
[10:39:45.908] 9,104,5
[10:39:45.911] 10,111,6
[10:39:45.913] 11,111,5
[10:39:45.916] 12,94,7
[10:39:45.919] 13,89,7
[10:39:45.922] 14,68,7
[10:39:45.925] 15,54,4
[10:39:45.928] 16,42,10
[10:39:45.934] 17,20,5
[10:39:45.934] 18,7,6
[10:39:45.935] 19,2,6
[10:39:45.938] 20,0,2
[10:39:45.941] 21,0,8
[10:39:45.944] 22,0,7
[10:39:45.953] 23,0,2
[10:39:45.953] 24,0,3
[10:39:45.953] 25,0,5
[10:39:45.954] 26,0,6
[10:39:45.962] 27,0,4
[10:39:45.963] 28,0,7
[10:39:45.963] 29,0,3
[10:39:45.966] 30,0,2
[10:39:45.975] 31,0,1
[10:39:45.975] 32,0,4
[10:39:45.975] 33,2,3
[10:39:45.976] 34,9,2
