
=== Session started 2026-07-11T10:43:21.337518 (192.168.1.168:23) ===
[10:43:21.341] [dev] eDrum telnet console
[10:43:27.956] [HIT] t=1806939 i=0 note=38 vel=12 raw=12 truepeak=321 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=152.0 dchead=6.4 spikerej=108 rcstate=2 lcp=321 refrise=0
[10:43:27.966] [SysEx TX] F0 00 7D 00 05 03 00 00 0C 0C F7
[10:43:27.969] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=358 rim_peak=23 decision=HEAD samples=200
[10:43:27.981] T,H,R
[10:43:29.616] 90,17,6
[10:43:29.617] 91,7,2
[10:43:29.617] 92,1,2
[10:43:29.618] 93,0,3
[10:43:29.630] 94,2,3
[10:43:29.632] 95,5,1
[10:43:29.636] 96,7,2
[10:43:29.638] 97,6,3
[10:43:29.640] 98,7,5
[10:43:29.643] 99,24,2
[10:43:29.650] 100,30,0
[10:43:29.650] 101,23,1
[10:43:29.651] 102,22,8
[10:43:29.654] 103,17,2
[10:43:29.656] 104,8,2
[10:43:29.658] 105,3,2
[10:43:29.662] 106,0,0
[10:43:29.664] 107,6,4
[10:43:29.667] 108,10,2
[10:43:29.670] 109,12,6
[10:43:29.673] 110,12,2
[10:43:29.675] 111,6,8
[10:43:29.683] 112,5,5
[10:43:29.683] 113,0,1
[10:43:29.683] 114,0,5
[10:43:29.687] 115,0,8
[10:43:29.689] 116,0,8
[10:43:29.698] 117,0,2
[10:43:29.698] 118,0,5
[10:43:29.698] 119,0,3
[10:43:29.703] 120,0,2
[10:43:29.709] 121,0,0
[10:43:29.709] 122,0,2
[10:43:29.709] 123,0,8
[10:43:29.721] 124,0,2
[10:43:29.721] 125,0,3
[10:43:29.721] 126,0,0
[10:43:29.721] 127,0,1
[10:43:29.732] 128,0,2
[10:43:29.734] 129,0,3
[10:43:29.744] 130,2,2
[10:43:29.744] 131,5,4
[10:43:29.744] 132,17,3
[10:43:29.745] 133,10,4
[10:43:29.753] 134,5,0
[10:43:29.753] 135,0,2
[10:43:29.753] 136,0,2
[10:43:29.758] 137,0,2
[10:43:29.759] 138,0,9
[10:43:29.763] 139,0,3
[10:43:29.766] 140,0,3
[10:43:29.770] 141,0,7
[10:43:29.774] 142,1,5
[10:43:29.775] 143,0,2
[10:43:29.783] 144,0,2
[10:43:29.783] 145,0,0
[10:43:29.784] 146,0,0
[10:43:29.784] 147,0,2
[10:43:29.788] 148,0,6
[10:43:29.791] 149,0,3
[10:43:29.796] 150,0,2
[10:43:29.797] 151,4,5
[10:43:29.799] 152,7,2
[10:43:29.802] 153,2,4
[10:43:29.805] 154,7,5
[10:43:29.812] 155,3,7
[10:43:29.812] 156,0,0
[10:43:29.813] 157,2,2
[10:43:29.821] 158,10,5
[10:43:29.822] 159,21,8
[10:43:29.822] 160,21,2
[10:43:29.831] 161,23,2
[10:43:29.835] 162,21,6
[10:43:29.838] 163,21,2
[10:43:29.841] 164,5,5
[10:43:29.842] 165,6,3
[10:43:29.845] 166,6,3
[10:43:29.848] 167,17,1
[10:43:29.866] 168,7,0
[10:43:29.866] 169,10,1
[10:43:29.866] 170,2,2
[10:43:29.871] 171,8,2
[10:43:29.873] 172,2,2
[10:43:29.875] 173,8,6
[10:43:29.877] 174,3,1
[10:43:29.886] 175,10,8
[10:43:29.886] 176,9,0
[10:43:29.886] 177,18,4
[10:43:29.887] 178,19,7
[10:43:29.891] 179,20,4
[10:43:29.896] 180,18,4
[10:43:29.897] 181,10,6
[10:43:29.900] 182,8,3
[10:43:29.902] 183,10,6
[10:43:29.913] 184,11,5
[10:43:29.914] 185,10,1
[10:43:29.914] 186,26,6
[10:43:29.915] 187,23,4
[10:43:29.923] 188,19,2
[10:43:29.924] 189,22,4
[10:43:29.924] 190,17,2
[10:43:29.925] 191,6,5
[10:43:29.949] 192,5,2
[10:43:29.959] 193,5,7
[10:43:29.959] 194,6,1
[10:43:29.960] 195,10,2
[10:43:29.961] 196,4,3
[10:43:29.963] 197,4,1
[10:43:29.967] 198,0,4
[10:43:29.969] 199,0,5
[10:43:29.975] [RCEXIT] t=1808956 i=0 exit=0 lcp=22 dur=0ms margin=30
[10:43:29.979] [HIT] t=1808962 i=0 note=38 vel=1 raw=1 truepeak=23 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-1.0 dchead=7.3 spikerej=108 rcstate=2 lcp=23 refrise=0
[10:43:29.990] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[10:43:29.992] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=31 rim_peak=16 decision=HEAD samples=200
[10:43:29.998] T,H,R
[10:43:29.999] 0,0,7
[10:43:30.001] 1,0,3
[10:43:30.006] 2,1,6
[10:43:30.006] 3,6,2
[10:43:30.009] 4,6,10
[10:43:30.015] 5,3,8
[10:43:30.016] 6,2,2
[10:43:30.016] 7,7,7
[10:43:30.025] 8,2,6
[10:43:30.027] 9,7,0
[10:43:30.027] 10,3,5
[10:43:30.028] 11,6,2
[10:43:30.038] 12,3,2
[10:43:30.040] 13,4,4
[10:43:30.046] 14,3,4
[10:43:30.046] 15,2,0
[10:43:30.048] 16,0,4
[10:43:30.051] 17,0,0
[10:43:30.054] 18,0,5
[10:43:30.059] 19,1,2
[10:43:30.060] 20,0,2
[10:43:30.064] 21,0,0
[10:43:30.065] 22,0,5
[10:43:30.067] 23,0,8
[10:43:30.072] 24,2,5
[10:43:30.073] 25,0,3
[10:43:30.077] 26,1,4
[10:43:30.079] 27,1,7
[10:43:30.082] 28,0,3
[10:43:30.089] 29,3,2
[10:43:30.090] 30,4,2
[10:43:30.090] 31,3,0
[10:43:30.098] 32,3,2
[10:43:30.099] 33,1,3
[10:43:30.099] 34,4,5
[10:43:30.101] 35,7,1
[10:43:30.105] 36,8,6
[10:43:30.110] 37,4,3
[10:43:30.111] 38,4,7
[10:43:30.112] 39,8,10
[10:43:30.118] 40,6,2
[10:43:30.119] 41,5,4
[10:43:30.120] 42,10,7
[10:43:30.129] 43,11,3
[10:43:30.129] 44,6,2
[10:43:30.129] 45,8,6
[10:43:30.130] 46,5,4
[10:43:30.140] 47,2,2
[10:43:30.140] 48,1,6
[10:43:30.140] 49,2,2
[10:43:30.143] 50,2,3
[10:43:30.147] 51,2,5
[10:43:30.149] 52,3,5
[10:43:30.152] 53,0,7
[10:43:30.155] 54,3,9
[10:43:30.162] 55,0,0
[10:43:30.162] 56,5,2
[10:43:30.163] 57,5,6
[10:43:30.164] 58,11,2
[10:43:30.168] 59,8,9
[10:43:30.170] 60,8,7
[10:43:30.173] 61,5,2
[10:43:30.176] 62,4,4
[10:43:30.179] 63,17,4
[10:43:30.182] 64,17,8
[10:43:30.185] 65,12,1
[10:43:30.191] 66,11,4
[10:43:30.191] 67,8,3
[10:43:30.193] 68,13,6
[10:43:30.196] 69,9,3
[10:43:30.199] 70,5,0
[10:43:30.202] 71,17,5
[10:43:30.205] 72,9,5
[10:43:30.208] 73,20,2
[10:43:30.211] 74,6,3
[10:43:30.215] 75,7,10
[10:43:30.216] 76,7,5
[10:43:30.221] 77,3,6
[10:43:30.221] 78,3,4
[10:43:30.224] 79,8,2
[10:43:30.231] 80,6,6
[10:43:30.231] 81,7,7
[10:43:30.231] 82,8,8
[10:43:30.233] 83,8,4
[10:43:30.246] 84,5,16
[10:43:30.247] 85,9,4
[10:43:30.247] 86,2,6
[10:43:30.247] 87,5,10
[10:43:30.253] 88,6,8
[10:43:30.254] 89,7,6
[10:43:30.257] 90,10,8
[10:43:30.262] 91,6,2
[10:43:30.263] 92,10,2
[10:43:30.265] 93,16,4
[10:43:30.268] 94,7,7
[10:43:30.271] 95,3,0
[10:43:30.274] 96,5,5
[10:43:30.276] 97,7,4
[10:43:30.279] 98,6,6
[10:43:30.282] 99,11,2
[10:43:30.285] 100,31,10
