
=== Session started 2026-07-06T19:48:00.476344 (192.168.1.168:23) ===
[19:48:00.482] [dev] eDrum telnet console
[19:48:08.636] [HIT] t=1921434 i=0 note=38 vel=127 raw=127 truepeak=4089 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=621.0 dchead=25.3 spikerej=2751
[19:48:08.641] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:48:08.644] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1392 decision=HEAD samples=200
[19:48:08.646] T,H,R
[19:48:10.160] 104,2258,102
[19:48:10.171] 105,2616,97
[19:48:10.172] 106,2983,73
[19:48:10.172] 107,3288,80
[19:48:10.173] 108,3449,83
[19:48:10.177] 109,3494,78
[19:48:10.180] 110,3451,72
[19:48:10.182] 111,3368,69
[19:48:10.185] 112,3189,57
[19:48:10.189] 113,2991,45
[19:48:10.190] 114,2837,38
[19:48:10.195] 115,2708,33
[19:48:10.196] 116,2574,26
[19:48:10.198] 117,2413,10
[19:48:10.201] 118,2268,0
[19:48:10.211] 119,2105,0
[19:48:10.212] 120,1934,5
[19:48:10.213] 121,1788,0
[19:48:10.214] 122,1669,0
[19:48:10.216] 123,1545,0
[19:48:10.219] 124,1320,0
[19:48:10.222] 125,1150,0
[19:48:10.230] 126,1023,8
[19:48:10.231] 127,969,20
[19:48:10.231] 128,893,15
[19:48:10.232] 129,829,5
[19:48:10.235] 130,758,2
[19:48:10.242] 131,696,10
[19:48:10.242] 132,623,33
[19:48:10.243] 133,553,23
[19:48:10.247] 134,438,28
[19:48:10.248] 135,341,14
[19:48:10.251] 136,245,0
[19:48:10.254] 137,178,3
[19:48:10.256] 138,139,10
[19:48:10.259] 139,108,5
[19:48:10.263] 140,47,0
[19:48:10.264] 141,0,8
[19:48:10.274] 142,0,8
[19:48:10.274] 143,0,13
[19:48:10.276] 144,0,28
[19:48:10.278] 145,0,37
[19:48:10.281] 146,29,34
[19:48:10.287] 147,303,14
[19:48:10.288] 148,698,16
[19:48:10.288] 149,1145,3
[19:48:10.293] 150,1615,0
[19:48:10.296] 151,2053,0
[19:48:10.298] 152,2381,0
[19:48:10.301] 153,2571,0
[19:48:10.305] 154,2624,0
[19:48:10.312] 155,2617,0
[19:48:10.312] 156,2552,0
[19:48:10.312] 157,2471,0
[19:48:10.315] 158,2386,0
[19:48:10.318] 159,2266,0
[19:48:10.320] 160,2105,0
[19:48:10.323] 161,1906,0
[19:48:10.329] 162,1664,0
[19:48:10.331] 163,1397,0
[19:48:10.331] 164,1088,0
[19:48:10.334] 165,510,0
[19:48:10.336] 166,188,0
[19:48:10.339] 167,0,1
[19:48:10.346] 168,0,13
[19:48:10.346] 169,0,27
[19:48:10.347] 170,0,7
[19:48:10.350] 171,0,21
[19:48:10.353] 172,0,46
[19:48:10.355] 173,0,53
[19:48:10.358] 174,17,40
[19:48:10.362] 175,94,40
[19:48:10.364] 176,185,41
[19:48:10.367] 177,279,45
[19:48:10.378] 178,350,46
[19:48:10.379] 179,414,52
[19:48:10.379] 180,517,43
[19:48:10.384] 181,678,30
[19:48:10.386] 182,906,29
[19:48:10.389] 183,1161,27
[19:48:10.393] 184,1427,2
[19:48:10.395] 185,1700,1
[19:48:10.397] 186,1895,4
[19:48:10.401] 187,1998,12
[19:48:10.403] 188,1975,18
[19:48:10.406] 189,1853,19
[19:48:10.409] 190,1695,28
[19:48:10.414] 191,1571,38
[19:48:10.416] 192,1462,34
[19:48:10.417] 193,1413,18
[19:48:10.423] 194,1424,1
[19:48:10.425] 195,1478,2
[19:48:10.427] 196,1529,0
[19:48:10.432] 197,1580,0
[19:48:10.433] 198,1591,0
[19:48:10.434] 199,1561,0
[19:48:10.444] [HIT] t=1923244 i=0 note=38 vel=15 raw=15 truepeak=527 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-216.0 dchead=224.4 spikerej=2944
[19:48:10.452] [SysEx TX] F0 00 7D 00 05 03 00 00 0F 0F F7
[19:48:10.454] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=809 rim_peak=31 decision=HEAD samples=200
[19:48:10.458] T,H,R
[19:48:10.461] 0,249,0
[19:48:10.463] 1,198,0
[19:48:10.466] 2,137,1
[19:48:10.469] 3,84,3
[19:48:10.479] 4,26,0
[19:48:10.479] 5,0,2
[19:48:10.480] 6,0,2
[19:48:10.484] 7,0,6
[19:48:10.489] 8,0,9
[19:48:10.489] 9,0,3
[19:48:10.492] 10,0,17
[19:48:10.493] 11,0,9
[19:48:10.496] 12,0,3
[19:48:10.499] 13,0,8
[19:48:10.502] 14,0,7
[19:48:10.504] 15,0,7
[19:48:10.509] 16,16,4
[19:48:10.511] 17,89,2
[19:48:10.513] 18,174,0
[19:48:10.516] 19,272,0
[19:48:10.520] 20,374,0
[19:48:10.524] 21,464,0
[19:48:10.526] 22,565,0
[19:48:10.529] 23,640,0
[19:48:10.530] 24,711,4
[19:48:10.534] 25,758,0
[19:48:10.535] 26,793,0
[19:48:10.537] 27,807,0
[19:48:10.541] 28,806,0
[19:48:10.547] 29,809,0
[19:48:10.547] 30,793,0
[19:48:10.548] 31,763,0
[19:48:10.552] 32,712,0
[19:48:10.554] 33,654,0
[19:48:10.557] 34,573,0
[19:48:10.561] 35,486,0
[19:48:10.563] 36,383,0
[19:48:10.566] 37,270,0
[19:48:10.570] 38,149,0
[19:48:10.571] 39,31,0
[19:48:10.583] 40,0,0
[19:48:10.583] 41,0,2
[19:48:10.583] 42,0,1
[19:48:10.584] 43,0,6
[19:48:10.589] 44,0,14
[19:48:10.591] 45,0,5
[19:48:10.594] 46,0,10
[19:48:10.598] 47,0,7
[19:48:10.600] 48,0,7
[19:48:10.605] 49,0,7
[19:48:10.606] 50,0,10
[19:48:10.608] 51,0,18
[19:48:10.612] 52,26,12
[19:48:10.617] 53,68,16
[19:48:10.618] 54,121,6
[19:48:10.621] 55,182,7
[19:48:10.624] 56,265,10
[19:48:10.626] 57,326,1
[19:48:10.631] 58,387,0
[19:48:10.632] 59,421,0
[19:48:10.637] 60,434,0
[19:48:10.639] 61,450,0
[19:48:10.639] 62,457,5
[19:48:10.643] 63,471,1
[19:48:10.648] 64,487,0
[19:48:10.651] 65,509,0
[19:48:10.652] 66,526,0
[19:48:10.652] 67,562,0
[19:48:10.655] 68,594,0
[19:48:10.659] 69,603,0
[19:48:10.663] 70,598,0
[19:48:10.664] 71,585,0
[19:48:10.667] 72,569,0
[19:48:10.670] 73,525,0
[19:48:10.673] 74,483,0
[19:48:10.684] 75,436,0
[19:48:10.686] 76,382,0
