
=== Session started 2026-07-06T19:24:33.391265 (192.168.1.168:23) ===
[19:24:33.392] [dev] eDrum telnet console
[19:24:37.231] [eDrum] Build 0 — p=ping  i=identify  s=config  n=test note  r=reboot
[19:24:37.234]   a=toggle ADC dump  d=toggle hit debug print  m=toggle diag mode (detection+MIDI off)
[19:24:37.236]   o <input> <floor> = scope input (e.g. o 0 10)   o off = disable scope
[19:24:37.239]   w <input> <param> <value> = set param (e.g. w 0 scan 3)
[19:24:37.242]   params: thresh sens scan mask retrig type ratio chokethresh choke enable
[19:24:55.109] [w] input=0 sens=3250 OK
[19:24:55.135] [SysEx TX] F0 00 7D 00 05 01 01 06 00 F7
[19:24:58.777] [HIT] t=531553 i=0 note=38 vel=1 raw=1 truepeak=187 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=45.0 dchead=3.0 spikerej=389
[19:24:58.789] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[19:24:58.791] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=189 rim_peak=14 decision=HEAD samples=200
[19:24:58.795] T,H,R
[19:25:00.735] 187,0,14
[19:25:00.735] 188,0,17
[19:25:00.737] 189,0,16
[19:25:00.741] 190,4,7
[19:25:00.744] 191,5,11
[19:25:00.746] 192,0,6
[19:25:00.749] 193,0,7
[19:25:00.751] 194,0,8
[19:25:00.754] 195,0,14
[19:25:00.757] 196,1,13
[19:25:00.759] 197,11,16
[19:25:00.765] 198,37,11
[19:25:00.766] 199,67,8
[19:25:00.774] [HIT] t=533548 i=0 note=38 vel=1 raw=1 truepeak=177 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-7.0 dchead=7.3 spikerej=389
[19:25:00.780] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[19:25:00.784] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=361 rim_peak=19 decision=HEAD samples=200
[19:25:00.786] T,H,R
[19:25:00.789] 0,0,2
[19:25:00.792] 1,1,5
[19:25:00.795] 2,0,0
[19:25:00.799] 3,1,5
[19:25:00.800] 4,0,0
[19:25:00.804] 5,0,0
[19:25:00.814] 6,5,4
[19:25:00.815] 7,2,0
[19:25:00.815] 8,0,4
[19:25:00.817] 9,0,0
[19:25:00.820] 10,0,4
[19:25:00.823] 11,0,0
[19:25:00.828] 12,0,7
[19:25:00.830] 13,0,19
[19:25:00.834] 14,0,10
[19:25:00.834] 15,0,5
[19:25:00.837] 16,0,4
[19:25:00.839] 17,0,19
[19:25:00.844] 18,0,10
[19:25:00.845] 19,0,7
[19:25:00.853] 20,0,8
[19:25:00.854] 21,0,10
[19:25:00.855] 22,0,5
[19:25:00.856] 23,0,4
[19:25:00.859] 24,0,18
[19:25:00.862] 25,0,10
[19:25:00.866] 26,2,3
[19:25:00.868] 27,25,6
[19:25:00.869] 28,40,9
[19:25:00.872] 29,70,5
[19:25:00.878] 30,103,2
[19:25:00.878] 31,132,5
[19:25:00.880] 32,153,0
[19:25:00.882] 33,186,1
[19:25:00.885] 34,205,0
[19:25:00.888] 35,242,1
[19:25:00.892] 36,265,0
[19:25:00.895] 37,266,0
[19:25:00.897] 38,277,0
[19:25:00.900] 39,297,0
[19:25:00.903] 40,340,0
[19:25:00.907] 41,361,0
[19:25:00.918] 42,358,0
[19:25:00.919] 43,329,0
[19:25:00.922] 44,306,0
[19:25:00.923] 45,278,1
[19:25:00.926] 46,237,0
[19:25:00.930] 47,198,0
[19:25:00.936] 48,163,0
[19:25:00.936] 49,156,0
[19:25:00.938] 50,163,0
[19:25:00.940] 51,182,4
[19:25:00.943] 52,199,2
[19:25:00.947] 53,217,0
[19:25:00.949] 54,232,0
